"","nsubj","ntax"
"1",5,25
"2",10,25
"3",15,25
"4",20,25
"5",25,25
"6",30,25
"7",35,25
"8",40,25
"9",5,50
"10",10,50
"11",15,50
"12",20,50
"13",25,50
"14",30,50
"15",35,50
"16",40,50
"17",5,75
"18",10,75
"19",15,75
"20",20,75
"21",25,75
"22",30,75
"23",35,75
"24",40,75
"25",5,100
"26",10,100
"27",15,100
"28",20,100
"29",25,100
"30",30,100
"31",35,100
"32",40,100
"33",5,125
"34",10,125
"35",15,125
"36",20,125
"37",25,125
"38",30,125
"39",35,125
"40",40,125
"41",5,150
"42",10,150
"43",15,150
"44",20,150
"45",25,150
"46",30,150
"47",35,150
"48",40,150
"49",5,175
"50",10,175
"51",15,175
"52",20,175
"53",25,175
"54",30,175
"55",35,175
"56",40,175
"57",5,200
"58",10,200
"59",15,200
"60",20,200
"61",25,200
"62",30,200
"63",35,200
"64",40,200
